"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,0,1,0
" ","07 ,Burglary and related offences",508,509,538,406
" ","0711 ,Aggravated burglary",11,1,8,4
" ","0712 ,Burglary (not aggravated)",494,506,529,395
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",3,2,1,7
" ","08 ,Theft and related offences",1235,1336,1313,1188
" ","081 ,Theft/taking of vehicle and related offences",78,80,72,70
" ","0821 ,Theft from person",39,42,63,42
" ","0822 ,Theft from shop",388,433,390,459
" ","084 ,Other thefts, handling stolen property",730,781,788,617
" ","09 ,Fraud, deception and related offences",175,156,147,115
" ","10 ,Controlled drug offences",278,331,328,305
" ","1011 ,Importation of drugs",1,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",10,17,16,11
" ","1021 ,Possession of drugs for sale or supply",68,53,67,44
" ","1022 ,Possession of drugs for personal use",190,244,233,242
" ","103 ,Other drug offences",9,17,12,8
" ","11 ,Weapons and Explosives Offences",47,28,44,60
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",2,2,2,2
" ","1122 ,Possession of a firearm",5,2,4,4
" ","113 ,Offensive weapons offences (n.e.c.)",40,24,37,39
" ","114 ,Fireworks offences",0,0,1,15
" ","12 ,Damage to property and to the environment",462,543,630,467
" ","1211 ,Arson",24,35,33,34
" ","1212 ,Criminal damage (not arson)",425,502,594,429
" ","1221 ,Litter offences",13,6,3,4
" ","13 ,Public order and other social code offences",884,877,993,1058
" ","131 ,Disorderly conduct",768,744,817,902
" ","132 ,Trespass offences",50,56,71,53
" ","133 ,Liquor licensing offences",56,54,79,71
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",2,6,15,13
" ","136 ,Social code offences (n.e.c.)",8,17,11,19
" ","15 ,Offences against government, justice procedures and organisation of crime",173,211,169,243
" ","151 ,Offences against government and its agents",8,9,3,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",2,3,0,2
" ","157 ,Offences while in custody, breach of court orders",163,199,166,240
"21 ,Clare Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",16,12,14,12
" ","021 ,Rape and sexual assault",15,11,9,9
" ","022 ,Other sexual offences",1,1,5,3
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",70,73,111,114
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",4,3,4,2
" ","033 ,Harassment and related offences",11,4,10,16
" ","034 ,Assault causing harm, poisoning",15,13,21,21
" ","035 ,Other assault",40,53,76,75
" ","04 ,Dangerous or negligent acts",42,45,45,47
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",40,40,45,44
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,0,0,1
" ","0421 ,Endangerment with potential for serious harm/death",0,0,0,1
" ","0422 ,Abandoning a child, child neglect and cruelty",2,2,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,0,1
" ","05 ,Kidnapping and related offences",0,0,0,1
" ","0511 ,False imprisonment",0,0,0,1
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",9,1,6,3
" ","0611 ,Robbery of an establishment or institution",4,0,0,1
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",5,1,6,2
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",113,83,96,92
" ","0711 ,Aggravated burglary",1,0,2,0
" ","0712 ,Burglary (not aggravated)",111,83,94,88
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,0,0,4
" ","08 ,Theft and related offences",249,296,256,273
" ","081 ,Theft/taking of vehicle and related offences",17,26,20,17
" ","0821 ,Theft from person",0,2,5,5
" ","0822 ,Theft from shop",86,77,79,117
" ","084 ,Other thefts, handling stolen property",146,191,152,134
" ","09 ,Fraud, deception and related offences",20,25,39,18
" ","10 ,Controlled drug offences",67,114,80,73
" ","1011 ,Importation of drugs",1,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,5,7,3
" ","1021 ,Possession of drugs for sale or supply",16,16,14,12
" ","1022 ,Possession of drugs for personal use",47,92,56,56
" ","103 ,Other drug offences",2,1,3,2
" ","11 ,Weapons and Explosives Offences",15,8,13,15
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",1,0,1,0
" ","1122 ,Possession of a firearm",1,1,0,4
