"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","152 ,Organisation of crime and conspiracy to commit crime",1,1,1,2
" ","153 ,Perverting the course of justice",2,3,4,2
" ","157 ,Offences while in custody, breach of court orders",1400,1442,1342,1419
"61 ,D.M.R. South Central Garda Division"
" ","01 ,Homicide offences",0,0,0,1
" ","0111 ,Murder",0,0,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",21,21,46,22
" ","021 ,Rape and sexual assault",21,16,45,21
" ","022 ,Other sexual offences",0,5,1,1
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",251,277,296,314
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",4,5,6,7
" ","033 ,Harassment and related offences",14,17,9,8
" ","034 ,Assault causing harm, poisoning",76,89,81,105
" ","035 ,Other assault",157,166,200,194
" ","04 ,Dangerous or negligent acts",43,51,44,52
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",31,45,38,47
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",6,3,2,2
" ","0421 ,Endangerment with potential for serious harm/death",4,0,2,0
" ","0422 ,Abandoning a child, child neglect and cruelty",2,0,1,2
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,3,1,1
" ","05 ,Kidnapping and related offences",2,2,2,1
" ","0511 ,False imprisonment",1,1,2,1
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",1,1,0,0
" ","06 ,Robbery, extortion and hijacking offences",80,95,82,93
" ","0611 ,Robbery of an establishment or institution",25,24,19,47
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",53,69,63,46
" ","0621 ,Blackmail or extortion",1,2,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,0,0,0
" ","07 ,Burglary and related offences",480,392,366,336
" ","0711 ,Aggravated burglary",6,6,6,4
" ","0712 ,Burglary (not aggravated)",460,364,336,318
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",14,22,24,14
" ","08 ,Theft and related offences",2310,2150,2063,2200
" ","081 ,Theft/taking of vehicle and related offences",89,67,67,80
" ","0821 ,Theft from person",550,449,527,691
" ","0822 ,Theft from shop",321,403,354,260
" ","084 ,Other thefts, handling stolen property",1350,1231,1115,1169
" ","09 ,Fraud, deception and related offences",158,145,128,135
" ","10 ,Controlled drug offences",277,290,198,196
" ","1011 ,Importation of drugs",2,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,2,1,2
" ","1021 ,Possession of drugs for sale or supply",95,122,74,63
" ","1022 ,Possession of drugs for personal use",166,152,116,126
" ","103 ,Other drug offences",14,14,7,5
" ","11 ,Weapons and Explosives Offences",61,60,67,37
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",2,0,2,0
" ","1122 ,Possession of a firearm",2,3,4,2
" ","113 ,Offensive weapons offences (n.e.c.)",57,57,61,35
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",387,336,343,354
" ","1211 ,Arson",14,12,22,20
" ","1212 ,Criminal damage (not arson)",373,324,321,334
" ","1221 ,Litter offences",0,0,0,0
" ","13 ,Public order and other social code offences",975,884,916,765
" ","131 ,Disorderly conduct",747,647,644,544
" ","132 ,Trespass offences",41,61,62,57
" ","133 ,Liquor licensing offences",14,25,5,13
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",10,7,21,10
" ","136 ,Social code offences (n.e.c.)",163,144,184,141
" ","15 ,Offences against government, justice procedures and organisation of crime",50,41,29,23
" ","151 ,Offences against government and its agents",2,1,5,2
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,2,1,0
" ","157 ,Offences while in custody, breach of court orders",48,38,23,21
"62 ,D.M.R. North Central Garda Division"
" ","01 ,Homicide offences",0,2,1,1
" ","0111 ,Murder",0,1,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,1,1,1
" ","02 ,Sexual offences",19,20,26,23
" ","021 ,Rape and sexual assault",19,19,23,21
" ","022 ,Other sexual offences",0,1,3,2
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",226,264,213,235
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",11,12,9,9
" ","033 ,Harassment and related offences",15,8,3,8
" ","034 ,Assault causing harm, poisoning",51,43,56,59
" ","035 ,Other assault",149,201,145,159
" ","04 ,Dangerous or negligent acts",40,47,50,48
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",30,41,38,40
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",7,1,5,4
" ","0421 ,Endangerment with potential for serious harm/death",2,2,2,2
" ","0422 ,Abandoning a child, child neglect and cruelty",1,2,5,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,0,0,2
" ","05 ,Kidnapping and related offences",3,2,3,1
" ","0511 ,False imprisonment",0,0,1,1
" ","0512 ,Abduction of person under 16 years of age",3,2,0,0
" ","0513 ,Human trafficking offences",0,0,2,0
" ","06 ,Robbery, extortion and hijacking offences",77,104,83,63
" ","0611 ,Robbery of an establishment or institution",18,21,11,13
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",57,78,70,49
" ","0621 ,Blackmail or extortion",1,2,2,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,3,0,1
" ","07 ,Burglary and related offences",236,190,220,222
" ","0711 ,Aggravated burglary",3,0,2,1
" ","0712 ,Burglary (not aggravated)",223,165,188,194
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",10,25,30,27
" ","08 ,Theft and related offences",1932,2243,2201,2170
" ","081 ,Theft/taking of vehicle and related offences",95,61,87,78
" ","0821 ,Theft from person",263,370,417,531
" ","0822 ,Theft from shop",833,940,760,703
" ","084 ,Other thefts, handling stolen property",741,872,937,858
" ","09 ,Fraud, deception and related offences",97,142,105,118
" ","10 ,Controlled drug offences",427,440,456,377
" ","1011 ,Importation of drugs",0,0,0,1
" ","1012 ,Cultivation or manufacture of drugs",2,1,3,1
" ","1021 ,Possession of drugs for sale or supply",151,184,170,166
" ","1022 ,Possession of drugs for personal use",257,232,244,174
" ","103 ,Other drug offences",17,23,39,35
" ","11 ,Weapons and Explosives Offences",55,64,55,50
" ","111 ,Explosives, chemical weapons offences",1,0,0,0
" ","1121 ,Discharging a firearm",2,1,1,0
" ","1122 ,Possession of a firearm",2,2,1,2
" ","113 ,Offensive weapons offences (n.e.c.)",50,61,53,46
" ","114 ,Fireworks offences",0,0,0,2
" ","12 ,Damage to property and to the environment",392,397,317,367
" ","1211 ,Arson",12,20,15,26
" ","1212 ,Criminal damage (not arson)",377,376,302,341
" ","1221 ,Litter offences",3,1,0,0
" ","13 ,Public order and other social code offences",747,1069,942,1283
" ","131 ,Disorderly conduct",362,438,464,370
" ","132 ,Trespass offences",55,47,44,37
" ","133 ,Liquor licensing offences",11,7,8,10
" ","134 ,Prostitution offences",3,4,6,4
" ","135 ,Regulated betting/money, collection/trading offences",9,23,19,14
" ","136 ,Social code offences (n.e.c.)",307,550,401,848
" ","15 ,Offences against government, justice procedures and organisation of crime",909,972,878,923
" ","151 ,Offences against government and its agents",2,2,3,2
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",1,1,0,1
" ","157 ,Offences while in custody, breach of court orders",906,969,875,920
"63 ,D.M.R. Northern Garda Division"
" ","01 ,Homicide offences",1,2,0,1
" ","0111 ,Murder",1,0,0,0
" ","0112 ,Manslaughter",0,1,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,1,0,1
" ","02 ,Sexual offences",70,68,40,52
" ","021 ,Rape and sexual assault",66,64,37,42
" ","022 ,Other sexual offences",4,4,3,10
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",237,267,250,278
" ","0311 ,Murder-attempt",1,0,0,0
" ","0312 ,Murder-threat",13,7,13,8
" ","033 ,Harassment and related offences",25,15,24,13
" ","034 ,Assault causing harm, poisoning",46,58,60,61
" ","035 ,Other assault",152,187,153,196
" ","04 ,Dangerous or negligent acts",108,81,97,104
" ","0411 ,Dangerous driving causing serious bodily harm",1,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",93,73,90,96
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",4,1,1,3
" ","0421 ,Endangerment with potential for serious harm/death",1,2,1,0
" ","0422 ,Abandoning a child, child neglect and cruelty",7,3,2,3
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",1,0,0,1
" ","0425 ,Endangering traffic offences",1,2,2,1
" ","05 ,Kidnapping and related offences",5,3,1,4
" ","0511 ,False imprisonment",2,0,1,2
" ","0512 ,Abduction of person under 16 years of age",0,2,0,0
" ","0513 ,Human trafficking offences",3,1,0,2
" ","06 ,Robbery, extortion and hijacking offences",80,72,55,112
" ","0611 ,Robbery of an establishment or institution",45,27,23,31
" ","0612 ,Robbery of cash or goods in transit",2,1,1,2
" ","0613 ,Robbery from the person",29,39,28,77
" ","0621 ,Blackmail or extortion",0,2,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",4,3,2,2
" ","07 ,Burglary and related offences",741,519,405,508
" ","0711 ,Aggravated burglary",8,6,6,8
" ","0712 ,Burglary (not aggravated)",712,496,387,484
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",21,17,12,16
" ","08 ,Theft and related offences",1660,1607,1569,1353
" ","081 ,Theft/taking of vehicle and related offences",260,184,203,141
" ","0821 ,Theft from person",51,51,40,61
" ","0822 ,Theft from shop",398,434,442,392
" ","084 ,Other thefts, handling stolen property",951,938,884,759
" ","09 ,Fraud, deception and related offences",97,98,79,132
" ","10 ,Controlled drug offences",229,303,278,275
" ","1011 ,Importation of drugs",2,3,5,1
" ","1012 ,Cultivation or manufacture of drugs",1,1,4,5
" ","1021 ,Possession of drugs for sale or supply",40,60,58,51
" ","1022 ,Possession of drugs for personal use",182,230,196,213
" ","103 ,Other drug offences",4,9,15,5
" ","11 ,Weapons and Explosives Offences",35,49,35,58
" ","111 ,Explosives, chemical weapons offences",1,1,1,1
" ","1121 ,Discharging a firearm",4,3,1,9
" ","1122 ,Possession of a firearm",6,7,6,5
" ","113 ,Offensive weapons offences (n.e.c.)",24,38,26,41
" ","114 ,Fireworks offences",0,0,1,2
" ","12 ,Damage to property and to the environment",586,466,501,521
" ","1211 ,Arson",35,28,31,28
" ","1212 ,Criminal damage (not arson)",550,437,470,492
" ","1221 ,Litter offences",1,1,0,1
" ","13 ,Public order and other social code offences",279,290,249,275
" ","131 ,Disorderly conduct",201,228,196,209
" ","132 ,Trespass offences",62,50,37,53
" ","133 ,Liquor licensing offences",5,4,11,3
" ","134 ,Prostitution offences",1,1,0,0
" ","135 ,Regulated betting/money, collection/trading offences",3,2,1,2
" ","136 ,Social code offences (n.e.c.)",7,5,4,8
" ","15 ,Offences against government, justice procedures and organisation of crime",95,90,93,109
" ","151 ,Offences against government and its agents",1,2,2,4
" ","152 ,Organisation of crime and conspiracy to commit crime",0,1,1,2
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",94,87,90,103
"64 ,D.M.R. Southern Garda Division"
" ","01 ,Homicide offences",1,1,0,0
" ","0111 ,Murder",1,1,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",28,25,30,32
" ","021 ,Rape and sexual assault",23,21,26,26
" ","022 ,Other sexual offences",5,4,4,6
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",208,170,213,187
" ","0311 ,Murder-attempt",0,0,0,1
" ","0312 ,Murder-threat",6,11,8,9
" ","033 ,Harassment and related offences",22,17,22,15
" ","034 ,Assault causing harm, poisoning",41,36,31,28
" ","035 ,Other assault",139,106,152,134
" ","04 ,Dangerous or negligent acts",55,76,54,60
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",49,70,46,53
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,2,2,4
" ","0421 ,Endangerment with potential for serious harm/death",2,1,4,1
" ","0422 ,Abandoning a child, child neglect and cruelty",3,2,1,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,0,1,1
" ","05 ,Kidnapping and related offences",1,8,1,3
" ","0511 ,False imprisonment",1,7,1,1
" ","0512 ,Abduction of person under 16 years of age",0,1,0,2
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",91,67,61,94
" ","0611 ,Robbery of an establishment or institution",42,19,31,38
" ","0612 ,Robbery of cash or goods in transit",3,0,0,0
" ","0613 ,Robbery from the person",39,46,27,49
" ","0621 ,Blackmail or extortion",1,0,1,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",6,2,2,6
" ","07 ,Burglary and related offences",764,498,460,579
" ","0711 ,Aggravated burglary",8,5,7,4
" ","0712 ,Burglary (not aggravated)",739,476,440,558
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",17,17,13,17
" ","08 ,Theft and related offences",1215,1247,1174,1192
" ","081 ,Theft/taking of vehicle and related offences",159,137,135,121
" ","0821 ,Theft from person",51,52,54,49
" ","0822 ,Theft from shop",315,332,305,328
" ","084 ,Other thefts, handling stolen property",690,726,680,694
" ","09 ,Fraud, deception and related offences",90,72,77,75
" ","10 ,Controlled drug offences",187,256,420,195
" ","1011 ,Importation of drugs",2,1,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,3,2,2
" ","1021 ,Possession of drugs for sale or supply",48,63,59,49
" ","1022 ,Possession of drugs for personal use",131,183,359,142
" ","103 ,Other drug offences",6,6,0,2
" ","11 ,Weapons and Explosives Offences",36,36,45,41
" ","111 ,Explosives, chemical weapons offences",0,0,0,2
" ","1121 ,Discharging a firearm",1,4,5,2
" ","1122 ,Possession of a firearm",4,3,1,5
" ","113 ,Offensive weapons offences (n.e.c.)",31,28,37,28
" ","114 ,Fireworks offences",0,1,2,4
" ","12 ,Damage to property and to the environment",565,463,437,496
" ","1211 ,Arson",24,22,27,23
" ","1212 ,Criminal damage (not arson)",540,440,409,473
" ","1221 ,Litter offences",1,1,1,0
" ","13 ,Public order and other social code offences",226,337,348,272
" ","131 ,Disorderly conduct",174,263,280,192
" ","132 ,Trespass offences",42,61,51,61
" ","133 ,Liquor licensing offences",3,5,4,7
" ","134 ,Prostitution offences",0,1,1,0
" ","135 ,Regulated betting/money, collection/trading offences",1,3,0,0
" ","136 ,Social code offences (n.e.c.)",6,4,12,12
" ","15 ,Offences against government, justice procedures and organisation of crime",98,111,107,107
" ","151 ,Offences against government and its agents",1,0,2,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,1,0
" ","157 ,Offences while in custody, breach of court orders",97,111,104,107
"65 ,D.M.R. Eastern Garda Division"
" ","01 ,Homicide offences",1,0,0,0
" ","0111 ,Murder",1,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",24,19,14,14
" ","021 ,Rape and sexual assault",21,16,12,13
" ","022 ,Other sexual offences",3,3,2,1
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",128,115,152,111
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",7,4,2,11
" ","033 ,Harassment and related offences",15,15,17,17
" ","034 ,Assault causing harm, poisoning",24,20,25,20
" ","035 ,Other assault",82,76,108,63
" ","04 ,Dangerous or negligent acts",44,31,49,34
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",35,23,46,25
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",5,1,1,1
" ","0421 ,Endangerment with potential for serious harm/death",0,0,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",3,2,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,1,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",1,4,2,8
" ","05 ,Kidnapping and related offences",1,1,5,2
" ","0511 ,False imprisonment",0,0,0,2
" ","0512 ,Abduction of person under 16 years of age",0,1,5,0
" ","0513 ,Human trafficking offences",1,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",26,27,12,23
" ","0611 ,Robbery of an establishment or institution",4,9,4,6
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",20,16,7,17
" ","0621 ,Blackmail or extortion",0,1,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,1,0,0
" ","07 ,Burglary and related offences",656,508,532,597
" ","0711 ,Aggravated burglary",2,1,2,1
" ","0712 ,Burglary (not aggravated)",649,504,527,582
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",5,3,3,14
" ","08 ,Theft and related offences",904,968,1024,962
" ","081 ,Theft/taking of vehicle and related offences",66,119,79,75
" ","0821 ,Theft from person",19,25,25,27
" ","0822 ,Theft from shop",227,241,221,248
" ","084 ,Other thefts, handling stolen property",592,583,699,612
" ","09 ,Fraud, deception and related offences",68,53,54,81
" ","10 ,Controlled drug offences",80,84,91,65
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,1,1,0
" ","1021 ,Possession of drugs for sale or supply",12,16,17,13
" ","1022 ,Possession of drugs for personal use",68,67,70,47
" ","103 ,Other drug offences",0,0,3,5
" ","11 ,Weapons and Explosives Offences",13,9,14,15
" ","111 ,Explosives, chemical weapons offences",0,0,0,1
" ","1121 ,Discharging a firearm",0,0,1,0
" ","1122 ,Possession of a firearm",0,0,1,1
" ","113 ,Offensive weapons offences (n.e.c.)",13,9,12,12
" ","114 ,Fireworks offences",0,0,0,1
" ","12 ,Damage to property and to the environment",267,255,274,307
" ","1211 ,Arson",19,10,22,17
" ","1212 ,Criminal damage (not arson)",248,245,252,290
" ","1221 ,Litter offences",0,0,0,0
" ","13 ,Public order and other social code offences",151,215,158,139
" ","131 ,Disorderly conduct",96,145,108,84
" ","132 ,Trespass offences",41,58,38,36
" ","133 ,Liquor licensing offences",1,3,3,3
" ","134 ,Prostitution offences",0,1,0,0
" ","135 ,Regulated betting/money, collection/trading offences",7,4,2,1
" ","136 ,Social code offences (n.e.c.)",6,4,7,15
" ","15 ,Offences against government, justice procedures and organisation of crime",77,64,69,62
" ","151 ,Offences against government and its agents",1,1,2,2
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,1,1
" ","157 ,Offences while in custody, breach of court orders",76,63,66,59
"66 ,D.M.R. Western Garda Division"
" ","01 ,Homicide offences",2,5,0,2
" ","0111 ,Murder",1,3,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,2,0,1
" ","02 ,Sexual offences",40,41,38,40
" ","021 ,Rape and sexual assault",38,37,33,35
" ","022 ,Other sexual offences",2,4,5,5
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",171,204,221,236
" ","0311 ,Murder-attempt",5,1,1,1
" ","0312 ,Murder-threat",14,14,6,7
" ","033 ,Harassment and related offences",17,19,21,24
" ","034 ,Assault causing harm, poisoning",49,51,45,49
" ","035 ,Other assault",86,119,148,155
" ","04 ,Dangerous or negligent acts",105,101,107,121
" ","0411 ,Dangerous driving causing serious bodily harm",1,0,0,1
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",81,82,92,100
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",7,10,5,4
" ","0421 ,Endangerment with potential for serious harm/death",1,5,5,1
" ","0422 ,Abandoning a child, child neglect and cruelty",9,0,2,12
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",6,4,3,3
" ","05 ,Kidnapping and related offences",8,4,3,4
" ","0511 ,False imprisonment",2,3,1,3
" ","0512 ,Abduction of person under 16 years of age",4,1,2,1
" ","0513 ,Human trafficking offences",2,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",135,91,78,84
" ","0611 ,Robbery of an establishment or institution",64,40,30,41
" ","0612 ,Robbery of cash or goods in transit",1,1,0,1
" ","0613 ,Robbery from the person",57,36,41,37
" ","0621 ,Blackmail or extortion",0,1,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",13,13,6,5
" ","07 ,Burglary and related offences",750,465,571,606
" ","0711 ,Aggravated burglary",12,9,6,12
" ","0712 ,Burglary (not aggravated)",705,431,539,572
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",33,25,26,22
" ","08 ,Theft and related offences",1538,1816,1660,1503
" ","081 ,Theft/taking of vehicle and related offences",266,294,253,185
" ","0821 ,Theft from person",41,58,51,62
" ","0822 ,Theft from shop",448,448,440,470
" ","084 ,Other thefts, handling stolen property",783,1016,916,786
" ","09 ,Fraud, deception and related offences",121,121,81,80
" ","10 ,Controlled drug offences",312,412,362,384
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",5,2,2,3
" ","1021 ,Possession of drugs for sale or supply",57,105,71,85
" ","1022 ,Possession of drugs for personal use",243,301,274,283
" ","103 ,Other drug offences",7,4,15,13
" ","11 ,Weapons and Explosives Offences",74,73,64,71
" ","111 ,Explosives, chemical weapons offences",0,1,1,2
" ","1121 ,Discharging a firearm",11,7,7,10
" ","1122 ,Possession of a firearm",9,7,5,7
" ","113 ,Offensive weapons offences (n.e.c.)",54,58,51,48
" ","114 ,Fireworks offences",0,0,0,4
" ","12 ,Damage to property and to the environment",658,664,591,617
" ","1211 ,Arson",25,35,33,40
" ","1212 ,Criminal damage (not arson)",632,629,558,575
" ","1221 ,Litter offences",1,0,0,2
" ","13 ,Public order and other social code offences",307,338,337,304
" ","131 ,Disorderly conduct",238,264,261,229
" ","132 ,Trespass offences",63,55,69,56
" ","133 ,Liquor licensing offences",3,3,1,6
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",1,5,4,5
" ","136 ,Social code offences (n.e.c.)",2,11,2,8
" ","15 ,Offences against government, justice procedures and organisation of crime",182,181,186,214
" ","151 ,Offences against government and its agents",1,7,1,5
" ","152 ,Organisation of crime and conspiracy to commit crime",1,0,0,0
" ","153 ,Perverting the course of justice",1,0,1,0
" ","157 ,Offences while in custody, breach of court orders",179,174,184,209

