Location,Crime type,Longitude,Latitude
On or near Grange Park,Anti-social behaviour,-6.010404,54.751611
On or near Mountainhill Road,Anti-social behaviour,-5.985012,54.628226
On or near ,Anti-social behaviour,-5.933651,54.595113
On or near Mill Street,Anti-social behaviour,-6.278223,54.865264
On or near ,Anti-social behaviour,-6.11135,54.3437
On or near Main Street,Anti-social behaviour,-6.331549,54.998036
On or near Carolhill Park,Anti-social behaviour,-5.867011,54.607119
On or near ,Anti-social behaviour,-6.738584,54.653705
On or near Haw Road,Anti-social behaviour,-6.499757,55.175853
On or near Railway Street,Anti-social behaviour,-6.279461,54.858148
On or near Spelga Place,Anti-social behaviour,-5.705102,54.59146
On or near Helens Wood,Anti-social behaviour,-6.014902,54.564604
On or near Greenview,Anti-social behaviour,-6.09646,54.723757
On or near Riverside,Anti-social behaviour,-6.217845,54.714157
On or near Mcclay Park,Anti-social behaviour,-7.27706,54.5988
On or near Old Movilla Road,Anti-social behaviour,-5.679752,54.594526
On or near Fallylea Road,Anti-social behaviour,-6.723956,54.852728
On or near Fox'S Hill,Anti-social behaviour,-6.332689,54.478039
On or near Phillip Street,Anti-social behaviour,-7.318141,55.011287
On or near Antrim Street,Anti-social behaviour,-5.806412,54.716086
On or near Orangefield Crescent,Anti-social behaviour,-5.89084,54.581552
On or near Durrow Park,Anti-social behaviour,-7.32911,54.993769
On or near Corrigs Avenue,Anti-social behaviour,-5.883368,54.22463
On or near Stevenson Park,Anti-social behaviour,-7.287924,54.973575
On or near Bann Road,Anti-social behaviour,-6.522473,55.059464
On or near ,Anti-social behaviour,-5.822834,54.721855
On or near Queen Street,Anti-social behaviour,-6.277105,54.858258
On or near James Street,Anti-social behaviour,-5.700467,54.597105
On or near Carrigart Avenue,Anti-social behaviour,-6.017252,54.57289
On or near Mountpottinger Road,Anti-social behaviour,-5.905507,54.595347
On or near Chapel Hill,Anti-social behaviour,-6.049774,54.510731
On or near Ballyloughlin Road,Anti-social behaviour,-5.896077,54.240982
On or near Rathmore Road,Anti-social behaviour,-5.703509,54.658201
On or near Donegall Place,Anti-social behaviour,-5.930305,54.598533
On or near Adair Close,Anti-social behaviour,-6.75687,54.640392
On or near Kerr Street,Anti-social behaviour,-6.654342,55.205424
On or near Church Street,Anti-social behaviour,-5.676548,54.655647
On or near Trench Park,Anti-social behaviour,-5.993928,54.569163
On or near Glenside,Anti-social behaviour,-7.452352,54.840997
On or near Abbey Drive,Anti-social behaviour,-7.658799,54.345649
On or near ,Anti-social behaviour,-5.974591,54.610756
On or near ,Anti-social behaviour,-5.756269,54.386436
On or near Edinburgh Street,Anti-social behaviour,-5.949997,54.582371
On or near Rinnalea Way,Anti-social behaviour,-6.011996,54.571582
On or near Roosevelt Rise,Anti-social behaviour,-5.947704,54.59014
On or near Beallachmor,Anti-social behaviour,-7.347508,55.017296
On or near Albertbridge Road,Anti-social behaviour,-5.90613,54.595286
On or near The Crescent,Anti-social behaviour,-6.510755,55.075347
On or near Beverley Road,Anti-social behaviour,-5.948576,54.688433
On or near Downside Avenue,Anti-social behaviour,-6.263736,54.347301
On or near Murray Street,Anti-social behaviour,-5.935911,54.596328
On or near Main Street,Anti-social behaviour,-6.741411,54.411555
On or near Malone Road,Anti-social behaviour,-5.938546,54.580622
On or near Hawthorn Drive,Anti-social behaviour,-6.629333,54.337454
On or near Wellington Park,Anti-social behaviour,-5.943605,54.583054
On or near Ellis Street,Anti-social behaviour,-5.815586,54.715488
On or near Lower Galliagh Road,Anti-social behaviour,-7.326428,55.039108
On or near ,Anti-social behaviour,-6.026125,54.510258
On or near Forthill Walk,Anti-social behaviour,-7.386532,54.71766
On or near Regency Court,Anti-social behaviour,-6.611434,54.759185
On or near Dufferin Avenue,Anti-social behaviour,-5.671688,54.659597
On or near ,Anti-social behaviour,-5.887853,54.681046
On or near Rathbeg Crescent,Anti-social behaviour,-6.943696,55.045433
On or near Orkney Drive,Anti-social behaviour,-6.253327,54.860353
On or near Sloan Street,Anti-social behaviour,-6.77298,54.502969
On or near Kerrsland Mews,Anti-social behaviour,-5.873626,54.594854
On or near ,Anti-social behaviour,-5.917997,54.594404
On or near Bailie Close,Anti-social behaviour,-6.280447,54.874504
On or near Ballygowan Road,Anti-social behaviour,-5.872428,54.577761
On or near Shearwater Way,Anti-social behaviour,-7.297981,54.996809
On or near Spencer Road,Anti-social behaviour,-7.313551,54.989972
On or near Canterbury Park,Anti-social behaviour,-7.279631,55.000618
On or near ,Anti-social behaviour,-5.894703,54.204989
On or near Dunmore Drive,Anti-social behaviour,-5.936476,54.621855
On or near Iveagh Drive,Anti-social behaviour,-6.276408,54.353188
On or near Herbison Fields,Anti-social behaviour,-6.268463,54.877837
On or near Main Street,Anti-social behaviour,-5.528265,54.606613
On or near Abbeydale,Anti-social behaviour,-7.29182,54.99795
On or near Main Street,Anti-social behaviour,-6.673281,54.844476
On or near Ligoniel Road,Anti-social behaviour,-5.983098,54.625597
On or near Balfour Avenue,Anti-social behaviour,-5.919741,54.585997
On or near Sandys Street,Anti-social behaviour,-6.333546,54.179102
On or near Riverside,Anti-social behaviour,-6.217623,54.713193
On or near Somerset Park,Anti-social behaviour,-6.178905,54.720128
On or near Saul Street,Anti-social behaviour,-5.714027,54.329869
On or near Ballydonaghy Road,Anti-social behaviour,-6.209092,54.621902
On or near Severn Street,Anti-social behaviour,-5.894924,54.601031
On or near Benburb Road,Anti-social behaviour,-6.69387,54.447166
On or near William Street,Anti-social behaviour,-7.321576,54.997635
On or near Shandon Park,Anti-social behaviour,-7.320682,54.597535
On or near Barnewall Place,Anti-social behaviour,-7.311483,54.990302
On or near New Lodge Road,Anti-social behaviour,-5.932232,54.611207
On or near Castle Street,Anti-social behaviour,-5.930334,54.599189
On or near ,Anti-social behaviour,-7.33003,55.002308
On or near Albert Road,Anti-social behaviour,-5.810007,54.71563
On or near ,Anti-social behaviour,-5.934999,54.589879
On or near Ashfield Court,Anti-social behaviour,-5.933869,54.622269
On or near London Road,Anti-social behaviour,-5.908498,54.589226
On or near The Square,Anti-social behaviour,-5.75936,54.396944
On or near Meadowlands,Anti-social behaviour,-6.004753,54.056094
On or near ,Anti-social behaviour,-5.936643,54.613044
On or near ,Anti-social behaviour,-5.936392,54.601808
On or near Cliftonville Court,Anti-social behaviour,-5.942507,54.616172
On or near ,Anti-social behaviour,-7.328331,55.003897
On or near Rathmore Drive,Anti-social behaviour,-5.918301,54.66301
On or near Leafair Park,Anti-social behaviour,-7.317065,55.031367
On or near ,Anti-social behaviour,-7.338218,54.131336
On or near Greenpark Manor,Anti-social behaviour,-6.665374,54.338793
On or near Bencrom Park,Anti-social behaviour,-5.920263,54.662819
On or near Beechgrove Gardens,Anti-social behaviour,-5.947879,54.689032
On or near Fletcher Avenue,Anti-social behaviour,-7.321003,55.005689
On or near ,Anti-social behaviour,-5.930249,54.58562
On or near Bencrom Park,Anti-social behaviour,-5.920263,54.662819
On or near ,Anti-social behaviour,-5.936848,54.608393
On or near Shaws Avenue,Anti-social behaviour,-6.002134,54.574016
On or near Florence Court,Anti-social behaviour,-5.94134,54.60802
On or near Beechfield,Anti-social behaviour,-6.206833,54.724219
On or near Ballynure Street,Anti-social behaviour,-5.949275,54.614894
On or near North Street,Anti-social behaviour,-5.695695,54.594453
On or near Craigs Road,Anti-social behaviour,-5.786529,54.740892
On or near Balmoral Gardens,Anti-social behaviour,-5.962796,54.56831
On or near Edenmore Street,Anti-social behaviour,-7.325758,55.006389
On or near University Street,Anti-social behaviour,-5.92889,54.586181
On or near Maplebrook Hill,Anti-social behaviour,-6.695935,54.537352
On or near Brompton Park,Anti-social behaviour,-5.957101,54.615359
On or near Corrigs Avenue,Anti-social behaviour,-5.883368,54.22463
On or near Stranmillis Park,Anti-social behaviour,-5.93432,54.579454
On or near Park Street,Anti-social behaviour,-6.00052,54.752033
On or near Cranbrook Court,Anti-social behaviour,-5.964467,54.616354
On or near ,Anti-social behaviour,-6.391034,54.449486
On or near Ashbrook,Anti-social behaviour,-7.475368,54.807745
On or near Glengall Street,Anti-social behaviour,-5.93543,54.595116
On or near Royal Avenue,Anti-social behaviour,-5.930446,54.599424
