Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
Confey Community College,Confey,Leixlip,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,356,433,299984,236919,299984,236919,70691C
Maynooth Post Primary School,Moyglare Rd,Maynooth,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,591,616,293441,238046,293441,238046,70700A
Piper's Hill College,Killashee,Naas,Co. Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,430,490,288966,216892,288966,216892,70710D
St Farnan's Post Primary School,Prosperous,Co. Kildare,,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,210,297,283322,226977,283322,226977,70720G
Ardscoil Rath Iomgh�in,Rathangan,Co Kildare,,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,365,307,267221,219072,267221,219072,70730J
Arklow Community College,Coolgreaney Rd,Arklow,Co Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,169,162,323271,173201,323271,173201,70740M
Scoil Chonglais,Baltinglass,Co Wicklow,,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,256,256,287377,188208,287377,188208,70750P
Blessington Community College,Naas Rd,Blessington,Co Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,155,177,297722,214278,297722,214278,70760S
St Thomas' Community College,Novara Avenue,Bray,Co. Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,538,534,326569,218334,326569,218334,70770V
Col�iste Bhr�de Carnew,Carnew,Co.Wicklow,,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,428,443,301297,163093,301297,163093,70790E
St Kevin's Community College,Dunlavin,Co Wicklow,,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,304,264,287431,201152,287431,201152,70800E
Avondale Community College,Rathdrum,Co Wicklow,,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,236,317,318652,188496,318652,188496,70810H
Col�iste Raith�n,B�thar Florence,Br�,Co Chill Mhantain,Wicklow,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,117,137,326698,218700,326698,218700,70821M
Ennis Community College,Ennis,Co Clare,,Clare,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,277,237,133503,177780,133503,177780,70830N
Ennistymon Vocational School,Ennistymon,Ennis,Co Clare,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,54,107,112988,188457,112988,188457,70840Q
St Michael's Community College,Kilmihill,Co Clare,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,120,114,110786,164522,110786,164522,70860W
St Joseph's Community College,Carrigholt Rd.,Kilkee,Co. Clare,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,88,81,88420,159392,88420,159392,70880F
Scariff Community College,Scariff,Co Clare,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,178,175,164009,183628,164009,183628,70900I
St Anne's Community College,Killaloe,Co Clare,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,264,279,170321,172447,170321,172447,70901K
"St. Brogan's College, Bandon",Kilbrogan,Bandon,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,259,414,149087,55896,149087,55896,70910L
Colaiste Ghobnatan,Baile Mhic Ire,Co Chorca�,,Cork,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,108,113,120569,76919,120569,76919,70920O
Scoil Mhuire,B�al Atha an Ghaorthaidh,Co Chorca�,,Cork,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,66,40,114963,66959,114963,66959,70931T
Clonakilty Community College,Clonakilty,Co Cork,,Cork,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,86,511,138619,41674,138619,41674,70950A
Coachford College,Coachford,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,275,291,145447,73541,145447,73541,70960D
Cobh Community College,Carrignafoy,Cobh,Co. Cork,Cork,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,134,126,180306,66964,180306,66964,70970G
Col�iste an Chraoibhin,Duntaheen Road,Fermoy,Co Cork,Cork,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,247,378,180515,98128,180515,98128,70990M
Colaiste Treasa,Kanturk,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,222,257,138395,103216,138395,103216,71000A
Davis College,Summerhill,Mallow,Co Cork,Cork,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,568,547,156119,97155,156119,97155,71020G
McEgan College,Macroom,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,164,128,133871,72910,133871,72910,71030J
St Fanahan's College,Mitchelstown,Mallow,Co.Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,131,144,182135,112556,182135,112556,71040M
St Colman's Community College,Youghal Road,Midleton,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,214,504,188525,73077,188525,73077,71050P
Mannix College,Charleville,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,29,33,153668,122127,153668,122127,71080B
Rossa College,Skibbereen,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,111,145,112704,34076,112704,34076,71090E
St Aidan's Community College,Ballincolly,Dublin Hill,Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,234,384,168226,74375,168226,74375,71101G
Schull Community College,Colla Road,Schull,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,204,235,92706,31034,92706,31034,71102I
Col�iste Choilm,Ballincollig,Co. Cork,,Cork,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,707,686,160095,70928,160095,70928,71103K
