nome,provincia,gml_id,civico,istat,cap,comune,provincia,regione,lon,lat
Via Petrarca,BARI,IN.NUMERICIVICI.2012.810707,58,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537754,41.130599
Via John Fitzgerald Kennedy,BARI,IN.NUMERICIVICI.2012.810846,20,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541555,41.131452
Via Magenta,BARI,IN.NUMERICIVICI.2012.810890,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542492,41.131394
Via M. De Vanna,BARI,IN.NUMERICIVICI.2012.810900,23,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538373,41.130523
Corso Garibaldi,BARI,IN.NUMERICIVICI.2012.810945,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540463,41.130607
Via Oratorio di Sovereto,BARI,IN.NUMERICIVICI.2012.810971,50,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543132,41.132689
Via M. De Vanna,BARI,IN.NUMERICIVICI.2012.811008,9,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538605,41.130399
Via Farini,BARI,IN.NUMERICIVICI.2012.811076,84,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546948,41.128715
Via Pistoia,BARI,IN.NUMERICIVICI.2012.811077,5,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538797,41.13226
Via Donizetti,BARI,IN.NUMERICIVICI.2012.811085,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538792,41.129917
Via Vittorio Veneto,BARI,IN.NUMERICIVICI.2012.811124,29,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544757,41.129805
Viale Federico II,BARI,IN.NUMERICIVICI.2012.811186,11,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551755,41.131342
Via Farini,BARI,IN.NUMERICIVICI.2012.811232,109,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546951,41.128769
Via Acton,BARI,IN.NUMERICIVICI.2012.811245,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547504,41.130554
Via Carelli,BARI,IN.NUMERICIVICI.2012.811266,50,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541533,41.126766
Via Einaudi,BARI,IN.NUMERICIVICI.2012.811347,33,16072043,70038,TERLIZZI,BARI,PUGLIA,16.55171,41.133097
Via Trento,BARI,IN.NUMERICIVICI.2012.811435,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546427,41.128249
Via Gorizia,BARI,IN.NUMERICIVICI.2012.811460,11,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543929,41.131154
Via De Nicola,BARI,IN.NUMERICIVICI.2012.811554,26,16072043,70038,TERLIZZI,BARI,PUGLIA,16.552589,41.132867
Via Mantova,BARI,IN.NUMERICIVICI.2012.811565,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551053,41.129669
Via Plebiscito,BARI,IN.NUMERICIVICI.2012.811628,3,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540286,41.12918
Via Poerio,BARI,IN.NUMERICIVICI.2012.811646,65,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544626,41.129467
Via Chiapperini,BARI,IN.NUMERICIVICI.2012.811657,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54273,41.132895
Via Manin,BARI,IN.NUMERICIVICI.2012.811671,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545273,41.129891
Via Goito,BARI,IN.NUMERICIVICI.2012.811759,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547521,41.129083
Via Piscina Nuova,BARI,IN.NUMERICIVICI.2012.811833,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544051,41.127767
Via Derna,BARI,IN.NUMERICIVICI.2012.811838,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54771,41.128351
Via Marconi,BARI,IN.NUMERICIVICI.2012.811841,27,16072043,70038,TERLIZZI,BARI,PUGLIA,16.5423,41.131703
Via Piave,BARI,IN.NUMERICIVICI.2012.811898,62,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548443,41.127669
Via 20 Settembre,BARI,IN.NUMERICIVICI.2012.811902,49,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551486,41.128656
Vico G. Superba,BARI,IN.NUMERICIVICI.2012.811910,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541837,41.130459
Viale dei Garofani,BARI,IN.NUMERICIVICI.2012.811920,75,16072043,70038,TERLIZZI,BARI,PUGLIA,16.55142,41.130529
Via Trilussa,BARI,IN.NUMERICIVICI.2012.811962,15,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537406,41.13023
Via Guerrazzi,BARI,IN.NUMERICIVICI.2012.811967,56,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545759,41.129547
Via Marco Polo,BARI,IN.NUMERICIVICI.2012.811968,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545594,41.127914
SP2,BARI,IN.NUMERICIVICI.2012.811972,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.585929,41.116221
Via Pasquale Fiore,BARI,IN.NUMERICIVICI.2012.812005,51,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538546,41.130209
Via Pisciniello,BARI,IN.NUMERICIVICI.2012.812017,11,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540665,41.127718
Via Benso,BARI,IN.NUMERICIVICI.2012.812099,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543308,41.13165
Via Croce,BARI,IN.NUMERICIVICI.2012.812124,49/a,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54085,41.132264
Via Monti,BARI,IN.NUMERICIVICI.2012.812135,28,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543409,41.132458
Via Francesco Salamone,BARI,IN.NUMERICIVICI.2012.812231,22,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549688,41.129459
Via Togliatti,BARI,IN.NUMERICIVICI.2012.812244,13,16072043,70038,TERLIZZI,BARI,PUGLIA,16.553904,41.131042
Via Giovanni da Verazzano,BARI,IN.NUMERICIVICI.2012.812261,13,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546233,41.128589
Via Pistoia,BARI,IN.NUMERICIVICI.2012.812325,17,16072043,70038,TERLIZZI,BARI,PUGLIA,16.539025,41.131723
