Latitude,Longitude,Number of casualties,Time of accident
53.956639,-1.058888,1,17:05:00
53.958344,-1.150188,1,07:55:00
53.931192,-1.114262,2,09:15:00
53.955075,-1.070506,1,12:40:00
53.964348,-1.079369,1,16:38:00
53.978696,-1.106012,1,08:16:00
53.979873,-1.13534,2,15:40:00
53.972037,-1.102526,1,16:05:00
53.921018,-1.178843,1,01:54:00
54.012977,-0.990179,1,07:31:00
53.91918,-1.1524,1,13:30:00
53.948694,-1.073985,1,12:15:00
53.956602,-1.135319,1,18:02:00
53.979578,-1.135621,1,14:10:00
53.997666,-1.043547,1,21:11:00
53.957576,-1.089501,1,03:00:00
53.959234,-1.090029,1,19:15:00
53.961664,-1.104867,1,07:47:00
53.952909,-1.09521,1,15:15:00
53.95215,-1.075737,1,08:04:00
53.95456,-1.10441,3,18:10:00
53.986263,-1.058785,1,10:35:00
53.959838,-1.079697,1,10:45:00
53.918849,-1.15262,1,12:35:00
54.008389,-1.000499,2,14:30:00
53.959413,-1.088775,1,09:45:00
53.957737,-1.08235,1,22:15:00
53.953755,-1.098911,3,10:05:00
53.955065,-1.070354,1,20:35:00
53.986169,-1.124839,1,07:45:00
53.959005,-1.077673,1,13:10:00
53.958788,-1.081092,1,17:20:00
54.010492,-1.07333,1,16:05:00
53.978416,-1.132778,1,08:00:00
53.972963,-1.09656,1,15:50:00
53.936944,-1.067908,1,14:00:00
53.964961,-1.066887,1,18:15:00
53.959323,-1.111547,1,20:15:00
53.928141,-1.099219,1,06:30:00
53.942841,-1.11918,1,17:51:00
53.973437,-1.101017,1,17:15:00
53.987719,-1.03043,1,22:15:00
53.960284,-1.057191,1,13:15:00
53.974088,-1.086107,1,09:45:00
53.967939,-1.081211,1,07:31:00
53.986835,-1.072254,1,09:53:00
53.94793,-1.074032,1,14:17:00
53.979041,-1.135861,1,14:24:00
53.921769,-1.133542,1,22:13:00
53.96462,-1.058876,1,09:53:00
54.012011,-1.085123,1,20:45:00
53.953159,-1.149044,3,00:43:00
53.946366,-1.046489,1,15:29:00
53.954301,-1.06109,1,05:53:00
53.951359,-1.136128,1,17:19:00
53.989964,-1.024597,2,10:38:00
53.937752,-1.071211,1,08:43:00
53.929484,-1.144043,1,19:28:00
54.004593,-1.055686,1,08:19:00
53.987216,-1.12288,1,16:26:00
53.964273,-1.08373,1,08:50:00
53.980456,-1.197437,1,06:12:00
53.938207,-1.119796,1,08:22:00
53.971371,-1.144252,1,18:22:00
53.949095,-1.073549,1,11:46:00
54.034842,-1.061872,2,19:21:00
53.999452,-1.030935,1,09:11:00
54.00876,-1.094961,3,15:36:00
53.915328,-1.176153,1,07:50:00
53.953676,-1.038855,1,18:49:00
53.994727,-1.05835,1,09:02:00
53.9585,-1.057795,2,15:04:00
53.958553,-1.124244,1,00:11:00
53.94976,-0.936851,1,18:19:00
53.958988,-1.199526,3,16:20:00
53.966513,-1.106699,1,17:28:00
54.015776,-1.049023,3,17:01:00
54.019896,-1.081898,1,17:28:00
53.952766,-1.095259,1,18:09:00
53.91689,-1.105627,2,19:54:00
53.95213,-1.05931,1,08:20:00
53.933705,-1.118672,1,14:37:00
53.975182,-1.076325,2,18:29:00
53.954101,-1.093554,1,19:40:00
53.953727,-1.01188,1,14:23:00
53.935996,-1.137055,1,15:15:00
54.019393,-1.098546,1,10:45:00
54.018943,-1.098403,1,11:26:00
53.959941,-1.129702,1,00:33:00
54.004593,-1.055686,1,07:23:00
53.911702,-1.050323,1,12:35:00
53.95498,-1.022213,4,17:27:00
53.920502,-1.144836,2,09:09:00
53.961894,-1.20389,3,17:20:00
53.954591,-1.075256,1,17:50:00
53.950095,-1.098669,2,13:05:00
53.919588,-1.155513,1,07:35:00
53.952825,-1.000624,1,12:30:00
53.977301,-1.071399,1,19:50:00
53.947501,-1.042196,1,17:06:00
53.963007,-1.070954,1,08:30:00
53.950893,-1.085395,1,11:50:00
53.971414,-1.042715,1,18:30:00
53.958225,-1.092093,1,00:15:00
53.977204,-1.106013,1,15:15:00
53.957701,-1.08235,2,01:20:00
53.979822,-1.048927,1,14:00:00
53.914123,-1.084372,1,14:28:00
53.958302,-1.078679,1,16:10:00
53.97232,-1.089957,1,02:20:00
53.980865,-1.067355,1,13:31:00
53.956323,-1.010599,1,11:30:00
53.910892,-1.050189,2,14:58:00
53.991421,-1.072457,2,08:43:00
53.96272,-1.116383,1,11:06:00
53.943517,-1.133091,1,00:01:00
53.926684,-1.105113,1,08:01:00
53.956102,-1.120943,1,08:30:00
53.957427,-1.081747,1,14:15:00
53.988461,-1.073286,1,14:54:00
53.943445,-1.052192,1,18:15:00
53.971231,-1.137242,1,09:50:00
53.96771,-1.063227,1,11:05:00
53.968295,-1.080746,1,19:15:00
53.996227,-1.089741,1,09:00:00
53.967108,-1.078333,1,08:10:00
53.956189,-1.120484,1,18:30:00
54.026072,-1.055352,1,20:49:00
53.965208,-1.065113,1,12:20:00
53.95213,-1.05931,1,17:20:00
53.989436,-1.095075,4,02:31:00
53.954011,-1.035799,3,20:27:00
53.960304,-1.013858,2,08:08:00
53.972801,-1.143156,1,12:51:00
53.966398,-1.06783,1,23:55:00
53.970875,-1.089074,1,21:47:00
53.962368,-1.058165,1,17:00:00
53.923938,-1.147811,4,14:25:00
53.996734,-1.133969,1,10:10:00
53.957615,-1.082809,1,13:50:00
53.989315,-1.067471,1,08:30:00
53.970384,-0.982977,3,17:10:00
53.957614,-1.082657,2,23:05:00
53.966231,-1.129419,1,15:30:00
53.939032,-1.121911,1,18:23:00
53.931811,-1.070124,1,10:58:00
53.957496,-1.079002,1,09:20:00
53.977615,-1.137568,1,11:10:00
53.95256,-1.068291,1,14:45:00
53.955591,-1.149757,2,22:30:00
53.937677,-1.108839,1,07:45:00
53.955423,-1.126443,1,10:15:00
53.97851,-1.18863,1,09:40:00
53.954459,-1.093394,1,13:35:00
53.960228,-1.144633,1,18:00:00
53.954533,-1.06779,1,19:25:00
54.002002,-1.012873,1,11:30:00
53.956798,-1.081761,1,18:05:00
53.953822,-1.045861,3,19:40:00
53.959848,-1.09282,1,20:12:00
53.978594,-0.965546,3,13:00:00
53.953747,-1.082437,2,18:10:00
53.952972,-1.052129,1,08:45:00
53.90781,-1.024533,1,19:40:00
53.959447,-0.997113,4,19:59:00
