Latitude,Longitude,School name,Total pupils 2014
53.5894,-6.18489,BLESSED OLIVER N S,342
53.4634,-6.34376,CILL COSCAIN,102
53.4206,-6.17507,SAN NIOCLAS MYRA,129
53.4909,-6.29847,BRIGHDE NAOFA,287
53.4462,-6.14978,ST OLIVER PLUNKETT,921
53.4493,-6.16243,SN N SAILBHEASTAR NFA,412
53.529,-6.16694,S N LUSCA,794
53.43,-6.29954,ST MARGARETS N S,86
53.3841,-6.37236,SCOIL BRIDE B,322
53.3843,-6.37306,SCOIL BRIDE C,321
53.3842,-6.06794,SCOIL MHUIRE MXD,298
53.4925,-6.13462,S N C NAOMH PADRAIG,433
53.374,-6.36131,SCOIL NAISUNTA CHNUACHA,217
53.3818,-6.40423,S N NAOMH MOCHTA,892
53.4583,-6.2138,S N CHOLMILLE B,395
53.4574,-6.21341,S N CHOLMCILLE C,453
53.5209,-6.26577,BALLYBOGHILL N S,195
53.3893,-6.14614,MHUIRE IOSEF JUNIOR,446
53.3831,-6.38229,ST FRANCIS XAVIER J N S,402
53.4589,-6.23548,ST CRONAN,651
53.3824,-6.38229,ST FRANCIS XAVIER SENIOR N S,365
53.3871,-6.39686,SN OILIBHEIR,259
53.6033,-6.17305,SN NAOMH TREASA,473
53.3897,-6.14589,S N MUIRE AGUS IOSEF,435
53.4587,-6.23448,BRACKENSTOWN SENIOR N S,601
53.3986,-6.37495,CORDUFF N S,258
53.3801,-6.09417,ST FINTANS NS,464
53.4388,-6.13483,ST HELENS JUNIOR N S,325
53.3897,-6.40584,ST PHILIP THE APOSTLE JUNIOR N S,290
53.3973,-6.40002,SCOIL NAIS MHUIRE SOIS,277
53.5348,-6.09828,SCOIL NAIS CAITRIONA,306
53.5801,-6.11971,Scoil R�alt na Mara,440
53.4538,-6.16821,JOHN PAUL II N S,602
53.3987,-6.37605,ST PATRICKS SENIOR SCHOOL,303
53.3894,-6.40618,ST PHILIPS  SENIOR N S,303
53.3935,-6.41981,ST CIARANS N S,777
53.5204,-6.10335,RUSH NS,725
53.4524,-6.29158,MARY QUEEN OF IRELAND N S,68
53.3976,-6.399,SCOIL MHUIRE SIN,284
53.4519,-6.24108,HOLY FAMILY JUNIOR N S,671
53.4023,-6.40911,SACRED HEART N S,869
53.4397,-6.13515,ST HELENS SENIOR N S,234
53.378,-6.37685,SCOIL THOMAIS,687
53.4058,-6.39109,LADYSWELL N S,641
53.4522,-6.24094,HOLY FAMILY SENIOR N S,581
53.4466,-6.19886,GAELSCOIL AN DUINNINIGH,364
53.4732,-6.24911,GAELSCOIL BHRIAN B�ROIMHE,427
53.3797,-6.36187,CASTLEKNOCK EDUCATE TOGETHER NS,436
53.3687,-6.38643,ST PATRICKS NS,736
53.4045,-6.42294,MARY  MOTHER OF HOPE SENIOR NS,476
53.4724,-6.24943,SWORDS EDUCATE TOGETHER NS,444
53.4893,-6.14564,DONABATE/PORTRANE EDUCATE TOGETHER,493
53.5287,-6.15594,RUSH AND LUSK EDUCATE TOGETHER NS,326
53.3932,-6.44173,CASTAHEANY EDUCATE TOGETHER NS,448
53.4144,-6.38932,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,581
53.6123,-6.20556,BALBRIGGAN EDUCATE TOGETHER NS,399
53.3929,-6.43991,ST BENEDICTS NATIONAL SCHOOL,636
53.3758,-6.40789,Scoil Choilm Community NS,548
53.3979,-6.43464,Scoil Ghrainne Community National School,513
53.6004,-6.17815,GAELSCOIL BHAILE BRIGIN,401
53.6013,-6.17753,Scoil Chormaic,276
53.6006,-6.1772,Bracken Educate Together N.S.,403
53.4721,-6.23275,Thornleigh Educate Together National School,255
53.5831,-6.13352,Skerries Educate Together National School,237
53.4042,-6.42381,Mary Mother of Hope Junior National School,460
53.532,-6.10515,Gaelscoil Ros Eo,133
53.4443,-6.20821,Holywell Educate Together National School,326
53.4047,-6.42627,Hansfield Educate Together National School,141
53.4143,-6.38824,Powerstown Educate Together National School,95
53.4144,-6.38875,Gaelscoil an Chuilinn,52
53.3593,-6.4427,LUCAN B N S,489
53.291,-6.27787,CLOCHAR LORETO N S,527
53.2862,-6.29348,BALLYROAN    B N S,359
53.2717,-6.28132,WHITECHURCH NAT SCHOOL,156
53.36,-6.43863,ST ANDREWS N S,279
53.28,-6.47475,HOLY FAMILY NATIONAL SCHOOL,601
53.3587,-6.43903,SCOIL MHUIRE,685
53.2932,-6.30247,RATHFARNHAM PARISH N S,233
53.2989,-6.50124,CAISLEAIN NUA LIAMHNA,395
53.3249,-6.34484,S N NAOMH CILLIN,23
53.2785,-6.44317,S N  NAOMH MHUIRE,482
53.2849,-6.33634,SCOIL CARMEL,447
53.2685,-6.2985,S N BHAILE EAMONN,90
53.2452,-6.35666,GLEN NA SMOL N S,76
53.2348,-6.4514,S N BRIOTAS,102
53.3522,-6.36807,SCOIL LORCAIN B,371
53.3519,-6.36868,SCOIL BRIDE C,352
53.2901,-6.35635,ST MARYS SCHOOL,363
53.3177,-6.39344,SCOIL MHUIRE,363
53.3215,-6.39358,S N NAOMH EOIN,89
53.3171,-6.39407,SCOIL NAOMH SEOSAMH,415
53.2861,-6.29921,ST PATRICK GNS,496
53.3048,-6.32744,ST PETERS B N S,192
53.3084,-6.32831,ST PAULS G N S,260
53.3025,-6.30449,ST PIUS X N S BOYS,520
53.3024,-6.30377,ST PIUS X G N S,525
53.3171,-6.39127,SCOIL NAOMH IDE,297
53.3169,-6.3913,SCOIL NAOMH AINE,286
53.2868,-6.38635,ST MARKS SEN NS,518
53.2946,-6.28293,SCOIL MHUIRE BOYS,478
53.2776,-6.36164,SCOIL MAELRUAIN JUNIOR,434
53.2777,-6.36201,SCOIL MAELRUAIN SENIOR,363
53.2855,-6.356,SN NAOMH COLMCILLE,38
53.3011,-6.35773,ST KEVINS BOYS,281
53.3012,-6.35798,ST KEVINS GIRLS,268
53.2867,-6.38591,ST MARKS JUNIOR N S,566
53.2838,-6.31507,SCOIL COLMCILLE NAOFA,762
53.2784,-6.28835,SCOIL MHUIRE,232
53.2978,-6.31768,BISHOP GALVIN NS,477
53.2928,-6.34443,SCOIL AENGHUSA JUN NS,210
53.2815,-6.46681,SCOIL CHRONAIN,268
53.3259,-6.41247,SCOIL NANO NAGLE,321
53.3259,-6.41221,TALBOT SENIOR NS,319
53.2981,-6.38477,BELGARD HEIGHTS N S,376
53.3484,-6.44805,ST THOMAS JUNIOR NATIONAL SCHOOL,511
53.2766,-6.38138,SCOIL N AN CROI RO NAOFA,282
53.3066,-6.36856,ST KILLIANS JUNIOR SCHOOL,270
53.2806,-6.33806,SCOIL TREASA FIRHOUSE,387
53.3264,-6.40031,OUR LADY QUEEN OF APOSTLES,551
53.3367,-6.39997,NEILLSTOWN N S,293
53.2838,-6.27229,MARLEY GRANGE NS,482
53.3431,-6.3942,ST MARYS JUNIOR N S,232
53.2923,-6.345,S N AENGHUSA,197
53.295,-6.33962,SCOIL IOSA,79
53.2822,-6.39119,ST MAELRUAINS  N S,92
53.2755,-6.39144,SCOIL CNOC MHUIRE SIN,129
53.2748,-6.37057,ST MARTIN DE PORRES N S,461
53.3086,-6.32744,ST PAULS JUN NS,230
53.3367,-6.40115,ST PETER APOSTLE SEN NS,239
53.2839,-6.34656,SCOIL SANTAIN,370
53.3426,-6.39537,ST MARYS SEN N S,225
53.2765,-6.38086,AN CHROI RO NAOFA SOIS,284
53.2982,-6.31747,BISHOP SHANAHAN NS,458
53.3489,-6.44766,SCOIL AINE NAOFA,551
53.2786,-6.40347,ST THOMAS JUNIOR N S,432
53.323,-6.42535,ST RONANS N S,445
53.2844,-6.31569,ST COLMCILLE SENIOR N S,696
53.3494,-6.39694,ST BERNADETTES JUNIOR N S,236
53.2786,-6.40229,ST THOMAS SENIOR N S,456
53.2756,-6.3909,SCOIL CNOC MHUIRE JUNIOR,181
53.2869,-6.40336,ST BRIGIDS N S,331
53.3502,-6.39638,ST BERNADETTES SENIOR N S,219
53.3143,-6.40122,SACRED HEART N S,438
53.3507,-6.46626,ST MARYS N S,415
53.2861,-6.4037,ST AIDANS NS,317
53.3234,-6.40139,GAELSCOIL CHLUAIN DOLCAIN,289
53.3403,-6.41483,DIVINE MERCY JUNIOR NATIONAL SCHOOL,556
53.2759,-6.39225,SCOIL CHAITLIN MAUDE,273
53.273,-6.34771,Holy Rosary Primary School,617
53.306,-6.36941,ST KILIANS SENIOR N S,208
53.3504,-6.43454,GAELSCOIL NAOMH PADRAIG,481
53.314,-6.32033,ST DAMIENS NS,247
53.2857,-6.35646,ST DOMINICS N S,219
53.3234,-6.39198,GAELSCOIL NA CAMOIGE,231
53.2843,-6.3258,GAELSCOIL CHNOC LIAMHNA,230
53.351,-6.4245,LUCAN EDUCATE TOGETHER NS,448
53.3411,-6.43284,GRIFFEEN VALLEY EDUCATE TOGETHER NS,443
53.2904,-6.39105,ST ANNES PRIMARY SCHOOL,438
53.3396,-6.41582,DIVINE MERCY SENIOR NATIONAL SCHOOL,611
53.3361,-6.45993,St. John the Evangelist National School,372
53.3479,-6.43579,GAELSCOIL EISCIR RIADA,456
53.336,-6.45904,Adamstown Castle Educate Together National School,323
53.3359,-6.45906,Esker Educate Together N.S.,373
53.3381,-6.43157,Lucan East ETNS,416
53.2838,-6.43635,Scoil Niamh Community National School,92
53.2838,-6.43635,City West Educate Together National School,92
53.2754,-6.36575,Firhouse Educate Together National School,21
53.2767,-6.33773,Gaelscoil na Gi�ise,6
53.3389,-6.41909,Scoil Oscair,13
