Lat,Long,District,Decision
53.25950726,-6.112501128,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.21184765,-6.217027427,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.25291766,-6.16422758,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.2766218,-6.249970055,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.25825912,-6.219481563,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.27348835,-6.155537449,Dun Laoghaire Rathdown,GRANT PERMISSION
53.22969645,-6.124432726,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29565231,-6.260654568,Dun Laoghaire Rathdown,GRANT PERMISSION & REFUSE PERMISSION
53.30626118,-6.207245351,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.26517744,-6.231486253,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30471023,-6.224695557,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30419148,-6.218661104,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26476873,-6.173211054,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28891549,-6.169462518,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29750299,-6.187813052,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30073195,-6.171158494,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30131628,-6.222753018,Dun Laoghaire Rathdown,GRANT PERMISSION
53.3081873,-6.198168469,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26730711,-6.135685454,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.2894915,-6.13001662,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23254684,-6.222511436,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29754733,-6.214376779,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26087729,-6.118545512,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29675518,-6.256990658,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.26698744,-6.157510777,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29837731,-6.2356873,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28932163,-6.155228046,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27442451,-6.141264452,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25158092,-6.1414258,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.26341995,-6.115393838,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.28895299,-6.157274493,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25717308,-6.177474529,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.23004946,-6.129233482,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29410653,-6.138618483,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30760119,-6.247195378,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28325805,-6.219487041,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28023587,-6.130150597,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28731124,-6.250953314,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.29317773,-6.214089583,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28416999,-6.234300551,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.23168196,-6.128124107,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29606278,-6.212821298,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26919068,-6.233704047,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.27114336,-6.144147701,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.29963419,-6.261913285,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28913217,-6.219053838,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28617882,-6.118767342,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29423918,-6.18866966,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30708566,-6.210641072,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28109977,-6.266480089,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27480896,-6.241482522,Dun Laoghaire Rathdown,GRANT PERMISSION
53.268279,-6.118027254,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29053163,-6.177131865,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.24814708,-6.136937851,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30810182,-6.240252457,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30996628,-6.24030454,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27593261,-6.098369084,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.27927869,-6.10519305,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.27547401,-6.21863728,Dun Laoghaire Rathdown,GRANT PERMISSION
