Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
Churchfield Place East,SHIP CONSTRUCTION,Cork City,3,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Ard Aoibhinn, Banduff, Mayfield",SHIP CONSTRUCTION TURNKEY,Cork City,5,*N/A,,,,Approval of turnkey/construction project Q2 2016,,
Corcorans Quay,SHIP CONSTRUCTION TURNKEY,Cork City,3,*N/A,,,,Approval of turnkey/construction project Q2 2016,,
Church Road,SHIP CONSTRUCTION TURNKEY,Cork City,43,*N/A,,,,Approval of turnkey/construction project Q4 2016,,
"Sheridan Park, Tramore Road",SHIP CONSTRUCTION TURNKEY,Cork City,28,*N/A,,,,,,Scheme completed in Q4 2016
"30 Obelisk Walk, Blackrock",CAS CONSTRUCTION,DLR,1,St. John of God,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Rochestown House (Phase 2),SHIP CONSTRUCTION,DLR,34,*N/A,,,,,,Scheme completed in Q2 2016
Cromlech Close,SHIP CONSTRUCTION,DLR,15,*N/A,,,,,,Scheme completed in Q3 2016
Clontibret House,SHIP CONSTRUCTION,DLR,4,*N/A,,,,,,Scheme completed in Q4 2016
Shanganagh Park Lodge,SHIP CONSTRUCTION,DLR,1,*N/A,,,,,,Scheme completed in Q3 2016
Rochestown House (Phase 3),SHIP CONSTRUCTION,DLR,14,*N/A,,,,,Scheme started on site in Q3 2016,
Fitzgerald Park,SHIP CONSTRUCTION,DLR,50,*N/A,,,,,Scheme started on site in Q4 2016,
Rosemount Court,SHIP CONSTRUCTION,DLR,44,*N/A,,,,,Scheme started on site in Q4 2016,
St Michaels Terrace,SHIP CONSTRUCTION,DLR,4,*N/A,,,,,Scheme started on site in Q2 2016,
Broadford Rise,SHIP CONSTRUCTION,DLR,21,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
Sallynoggin Park ,SHIP CONSTRUCTION,DLR,4,*N/A,,,,,Scheme started on site in Q4 2016,
Park Close Sallynoggin,SHIP CONSTRUCTION,DLR,10,*N/A,,,,,Scheme started on site in Q4 2016,
Assistant Harbour Master House,SHIP CONSTRUCTION,DLR,2,*N/A,,,,,Scheme started on site in Q4 2016,
"152 Pottery Road, Dun Laoghaire",SHIP CONSTRUCTION,DLR,4,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"George's Place,",SHIP CONSTRUCTION RAPID,DLR,12,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Churchtown,SHIP CONSTRUCTION RAPID,DLR,28,*N/A,,,,,Scheme started on site in Q3 2016,
Glenamuck/Stillorgan,SHIP CONSTRUCTION RAPID,DLR,14,*N/A,,The scheme was Stage 2 approved in Q4 2016 design/tender being prepared,,,,
"33,35, & 37 Temple Road",SHIP CONSTRUCTION,DLR ,3,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"66 Georges Street, Dun Laoghaire, Co. Dublin",SHIP CONSTRUCTION,DLR ,4,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
 Ballyshannon area,CALF CONSTRUCTION,Donegal,11,Cluid Housing Association,,,,Approval of turnkey/construction project Q2 2015,,
"Forge Road, Donegal",CALF CONSTRUCTION TURNKEY,Donegal,4,Cluid Housing Association,,,,,,Scheme completed in Q3 2016
Ballyshannon,CALF CONSTRUCTION TURNKEY,Donegal,22,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2016,,
"Meenmore, Dungloe",CAS CONSTRUCTION,Donegal,15,Donegal Parents and Friends Housing Association Ltd,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Glenrowan House, Drumkeen, Stranorlar",CAS CONSTRUCTION,Donegal,6,Apex Housing Association,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Willowbrook, Glencar, Letterkenny",CAS CONSTRUCTION,Donegal,40,Apex Housing Association,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Ardara (Phase 3) ,SHIP CONSTRUCTION,Donegal,8,*N/A,,,,,Scheme started on site in Q1 2016,
"Ard Connell, Ardara",SHIP CONSTRUCTION,Donegal,1,*N/A,,,,,Scheme started on site in Q1 2016,
Manorcunningham (Phase 1),SHIP CONSTRUCTION,Donegal,2,*N/A,,,,,Scheme started on site in Q2 2016,
Manorcunningham (Phase 2),SHIP CONSTRUCTION,Donegal,8,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Railway Park, Drumrooske, Donegal Town",SHIP CONSTRUCTION,Donegal,24,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Railway Park, Drumrooske, Donegal Town",CAS CONSTRUCTION,Donegal,10,Oaklee Housing Trust,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Newtoncunningham,SHIP CONSTRUCTION,Donegal,7,*N/A,,,,,Scheme started on site in Q4 2016,
Carndonagh Abbots Wood (Phase 2),SHIP CONSTRUCTION,Donegal,4,*N/A,,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
Dunfanaghy,SHIP CONSTRUCTION,Donegal,13,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Buncrana Rockytown (Phase 1),SHIP CONSTRUCTION,Donegal,20,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Radharc na Tra Breige, Malin (Phase 3)",SHIP CONSTRUCTION,Donegal,8,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Long Lane, Letterkenny ",SHIP CONSTRUCTION,Donegal ,34,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
