STREET NAME / ADDRESS,DATE GRANTED
GREAT WESTERN SQUARE,31-Mar-12
HEALTHFIELD ROAD,14-Apr-12
ASHDALE ROAD,14-Apr-12
RATHDOWN PARK,08-Apr-12
VAVASOUR SQUARE,08-Apr-12
GROSVENOR SQUARE,08-Apr-12
EFFRA ROAD,08-Apr-12
NORTH GREAT GEORGE'S STREET,08-Apr-12
VAVASOUR SQUARE,08-Apr-12
SAINT JOSEPH'S AVENUE,19-Apr-12
MERTON AVENUE,19-Apr-12
MOUNTJOY STREET,30-Mar-12
MARGARET PLACE,15-Apr-12
RATHDOWN PARK,19-Apr-12
FITZWILLIAM PLACE,19-Apr-12
SHELBOURNE ROAD,19-Apr-12
CURZON STREET,19-Apr-12
SEAFORT AVENUE,19-Apr-12
BEECHWOOD PARK,21-Apr-12
MOUNTAIN VIEW ROAD,30-Mar-12
BEECHWOOD AVENUE LOWER,30-Mar-12
GREENVILLE TERRACE,08-Apr-12
PEMBROKE ROAD,30-Mar-12
PEMBROKE STREET UPPER,05-Apr-12
MAIN STREET,05-Apr-12
HARRINGTON STREET,05-Apr-12
LAVERTY COURT,15-Apr-12
LEINSTER STREET NORTH,31-Mar-12
WARRINGTON PLACE,31-Mar-12
MERTON DRIVE,11-Apr-12
LANSDOWNE PARK,11-Apr-12
OAKLANDS PARK,11-Apr-12
LENNOX STREET,11-Apr-12
GRAND CANAL STREET UPPER,30-Mar-12
SYNGE STREET,07-Apr-12
HAROLD'S CROSS ROAD,07-Apr-12
HAROLD'S CROSS ROAD,11-Apr-12
RATHDOWN ROAD,30-Mar-12
BLESSINGTON STREET,30-Mar-12
RATHDOWN ROAD,08-Apr-12
RATHDOWN ROAD,08-Apr-12
WOODSTOCK GARDENS,15-Apr-12
ESTATE COTTAGES,15-Apr-12
BRIGHTON ROAD,15-Apr-12
WATERLOO ROAD,15-Apr-12
EDENVALE ROAD,15-Apr-12
HOLLYBANK AVENUE,15-Apr-12
SAINT KEVIN'S ROAD,12-Apr-12
FAIRFIELD ROAD,12-Apr-12
TERENURE PARK,13-Apr-12
SAINT BRIGID'S ROAD UPPER,12-Apr-12
MARTIN STREET,19-Apr-12
OSTMAN PLACE,25-Apr-12
CASIMIR ROAD,25-Apr-12
CASIMIR ROAD,25-Apr-12
RATHDOWN ROAD,25-Apr-12
LEINSTER SQUARE,25-Apr-12
DERRYNANE GARDENS,08-Apr-12
KINGSLAND PARADE,11-Apr-12
HASTINGS STREET,12-Apr-12
BLOOMFIELD AVENUE,26-Apr-12
ORMOND ROAD SOUTH,31-May-12
BRIGHTON SQUARE,01-Jun-12
SANDYMOUNT CASTLE DRIVE,08-Jun-12
OVOCA ROAD,09-Jun-12
HADDINGTON ROAD,01-Jun-12
INNISFALLEN PARADE,01-Jun-12
LANSDOWNE ROAD,10-Jun-12
WARRENMOUNT PLACE,10-Jun-12
BLOOMFIELD AVENUE,10-Jun-12
KENILWORTH SQUARE,25-May-12
MUNSTER STREET,25-May-12
LENNOX STREET,25-May-12
BELGRAVE SQUARE,02-Jun-12
ANNESLEY PARK,30-May-12
GROSVENOR SQUARE,30-May-12
ASHFIELD ROAD,13-Jun-12
XAVIER AVENUE,30-May-12
EGLINTON TERRACE,30-May-12
VICTORIA ROAD,07-Jun-12
VICTORIA ROAD,07-Jun-12
YORK ROAD,07-Jun-12
PEMBROKE LANE,08-Jun-12
PARK DRIVE,08-Jun-12
WARREN STREET,13-Jun-12
HOLLYBANK ROAD,13-Jun-12
SHANDON ROAD,13-Jun-12
RATHMINES ROAD UPPER,08-Jun-12
LEINSTER ROAD WEST,08-Jun-12
DERRYNANE GARDENS,09-Jun-12
WIGAN ROAD,09-Jun-12
CASTLEWOOD PARK,09-Jun-12
WILTON PLACE,09-Jun-12
HOME VILLAS,10-Jun-12
GROSVENOR SQUARE,10-May-12
GARVILLE AVENUE UPPER,09-May-12
MOYNE ROAD,09-May-12
KILLEEN ROAD,09-May-12
BELMONT GARDENS,09-May-12
SANDYMOUNT ROAD,13-May-12
MOYNE ROAD,16-May-12
ADELAIDE ROAD,16-May-12
CLYDE ROAD,26-May-12
OSTMAN PLACE,26-May-12
MUNSTER STREET,06-May-12
RAGLAN ROAD,06-May-12
EMMET ROAD,18-May-12
SAINT JOHN'S ROAD,12-May-12
,12-May-12
LEESON STREET UPPER,13-May-12
LANSDOWNE PARK,13-May-12
ASHDALE ROAD,13-May-12
AILESBURY ROAD,18-May-12
CONNAUGHT STREET,06-May-12
FITZGERALD STREET,24-May-12
BRENDAN ROAD,11-May-12
TYRCONNELL STREET,12-May-12
SIMMONSCOURT ROAD,13-May-12
EATON SQUARE,20-May-12
SOUTH CIRCULAR ROAD,11-May-12
DARTMOUTH SQUARE,19-May-12
HERBERT PARK,17-May-12
PRIMROSE AVENUE,23-May-12
BARROW STREET,06-May-12
PRINCE ARTHUR TERRACE,06-May-12
PEMBROKE COTTAGES,09-May-12
OVOCA ROAD,10-May-12
MOUNTJOY STREET,10-May-12
ULSTER STREET,12-May-12
PALMERSTON ROAD,25-May-12
MOYNE ROAD,10-May-12
HEYTESBURY LANE,23-May-12
SAINT ALBAN'S ROAD,13-May-12
HADDINGTON ROAD,17-May-12
LEINSTER ROAD,06-May-12
EGLINTON PARK,10-May-12
GREENVILLE TERRACE,25-May-12
MOUNTAIN VIEW ROAD,09-May-12
BEECHWOOD AVENUE UPPER,11-May-12
MOUNTSHANNON ROAD,17-May-12
DERRYNANE GARDENS,18-May-12
ULSTER STREET,19-May-12
WELLINGTON ROAD,19-May-12
PEMBROKE GARDENS,19-May-12
HEYTESBURY STREET,12-May-12
DAVID ROAD,12-May-12
TOWER AVENUE,20-May-12
SOUTH CIRCULAR ROAD,27-May-12
CADOGAN ROAD,27-May-12
BLACKHALL PLACE,27-May-12
FONTENOY STREET,27-May-12
ISLAND VILLAS,18-May-12
GROVE PARK,23-May-12
RATHDOWN ROAD,23-May-12
LENNOX STREET,23-May-12
BEECHWOOD AVENUE LOWER,24-May-12
CHARLEVILLE ROAD,24-May-12
KINGRAM PLACE,24-May-12
KIMMAGE ROAD LOWER,24-May-12
CHARLEVILLE ROAD,01-Jun-12
BELMONT GARDENS,01-Jun-12
HEYTESBURY STREET,02-Jun-12
ANNESLEY PARK,31-May-12
SYNOTT PLACE,31-May-12
GROSVENOR SQUARE,31-May-12
BRIGHTON SQUARE,01-Jun-12
BRIGHTON SQUARE,03-Jun-12
MOUNTJOY SQUARE NORTH,03-Jun-12
DARTMOUTH SQUARE,03-Jun-12
RATHDOWN ROAD,13-Sep-11
SUMMER STREET NORTH,13-Sep-12
MAYFIELD ROAD EAST,13-Sep-12
MAYFIELD ROAD EAST,13-Sep-12
HOLYROOD PARK,13-Sep-11
WILTON PLACE,13-Sep-11
VERNON GROVE,14-Sep-12
WASHINGTON STREET,14-Sep-12
SAINT JOHN'S ROAD,14-Sep-11
LEESON STREET UPPER,14-Sep-11
BEECHWOOD AVENUE LOWER,14-Sep-11
DAVID ROAD,14-Sep-11
SEAFORT GARDENS,14-Sep-12
MOREHAMPTON TERRACE,14-Sep-12
ELMPARK AVENUE,14-Sep-11
CURZON STREET,14-Sep-11
SUSSEX TERRACE,14-Sep-11
YORK ROAD,14-Sep-11
AVONDALE AVENUE,14-Sep-11
RICHVIEW PARK,14-Sep-11
NEW ROW SOUTH,14-Sep-11
MAYFIELD ROAD,14-Sep-12
CONNAUGHT STREET,14-Sep-11
RICHVIEW PARK,14-Sep-11
SAINT KEVIN'S ROAD,14-Sep-11
WILSON TERRACE,14-Sep-12
RATHMINES ROAD UPPER,14-Sep-11
DOWLINGS COURT,14-Sep-12
LONGWOOD AVENUE,14-Sep-11
BELMONT AVENUE,02-Sep-12
HOLLYBANK ROAD,21-Sep-11
ELGIN ROAD,15-Sep-11
THE COOMBE,08-Sep-12
LANSDOWNE PARK,08-Sep-11
RATHMINES ROAD UPPER,08-Sep-11
DUFFERIN AVENUE,08-Sep-11
DOWLINGS COURT,08-Sep-12
CHARLESTON AVENUE,08-Sep-12
CASIMIR ROAD,14-Sep-11
EFFRA ROAD,15-Sep-11
CONNAUGHT STREET,15-Sep-11
MOUNT TEMPLE ROAD,15-Sep-11
NORTHBROOK AVENUE,16-Sep-11
RATHMINES ROAD UPPER,16-Sep-11
SUMMER STREET NORTH,16-Sep-12
